id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000870,2000870,"   870 Manto (1917 BX)",870,Manto,,N,N,11.7,13.683,0.216,0.236,"JPL 39",2459000.5,59000,20200531.0000000,J2000,.2651305912939075,2.322231471588457,1.706536868404888,6.192799111595765,120.7974479750749,196.8938538232682,343.8687916508967,2.937926074772025,.2785132199048329,2459058.419004184488,20200727.9190042,1292.57778184824,3.53888509746267,.69417,270.1501389,3.2189E-8,6.586E-9,7.5313E-8,3.6257E-6,3.6278E-5,3.7109E-5,1.1121E-5,8.3322E-9,1.1848E-9,4.0074E-5,5.4988E-6,MBA,.43031
a0000871,2000871,"   871 Amneris (1917 BY)",871,Amneris,,N,N,12.6,8.011,0.380,0.063,"JPL 36",2459000.5,59000,20200531.0000000,J2000,.1200358992182532,2.222427669300524,1.955656565568509,4.250836382610022,158.0031813167672,66.61368889903657,36.59812129799729,2.489198773032539,.2974833207467449,2458877.474207474461,20200128.9742075,1210.151880435936,3.31321527840092,.951478,370.28669326,3.1967E-8,5.2588E-9,7.1681E-8,3.8066E-6,4.2305E-5,4.5065E-5,1.6742E-5,5.89E-9,1.0559E-9,5.6123E-5,4.2953E-6,MBA,.4626
a0000872,2000872,"   872 Holda (1917 BZ)",872,Holda,,N,N,10.1,34.431,0.165,0.322,"JPL 40",2459000.5,59000,20200531.0000000,J2000,.07862668360765669,2.73160745247045,2.516830217564739,7.374348438175057,194.7209189451331,18.01493755048381,313.3121789108224,2.946384687376162,.2183115135151668,2459214.358721133982,20201230.8587211,1649.019761731392,4.51477005265268,1.51238,588.5729246,3.2866E-8,8.5225E-9,9.1706E-8,3.6817E-6,2.5949E-5,3.4696E-5,2.3925E-5,9.1926E-9,1.0217E-9,.00010984,7.7173E-6,MBA,.43271
a0000873,2000873,"   873 Mechthild (1917 CA)",873,Mechthild,,N,N,11.4,34.471,0.040,0.103,32,2459000.5,59000,20200531.0000000,J2000,.149450280677087,2.627293705989703,2.234643924208398,5.276331338839029,149.9957068319133,109.9898337002551,48.26409380729413,3.019943487771008,.2314414469265336,2458791.963048437411,20191104.4630484,1555.469017242511,4.258642073217,1.22607,477.1496619,3.4722E-8,8.0981E-9,9.282E-8,3.9013E-6,4.5438E-5,4.7756E-5,1.4608E-5,9.3084E-9,1.0701E-9,6.2961E-5,7.1917E-6,MBA,.44774
a0000874,2000874,"   874 Rotraut (1917 CC)",874,Rotraut,,N,N,10.1,58.287,0.054,0.198,"JPL 47",2459000.5,59000,20200531.0000000,J2000,.08006987937238146,3.151536612651679,2.899193456239015,11.14107622591194,190.6314064615749,9.454716387601207,171.8045921358931,3.403879769064343,.1761653693090036,2458025.253884320257,20170928.7538843,2043.534443869843,5.59489238568061,1.89781,738.5707177,3.239E-8,1.3703E-8,9.8048E-8,3.4813E-6,1.7672E-5,2.8302E-5,2.1963E-5,1.48E-8,1.149E-9,.00012427,1.3328E-5,MBA,.44367
a0000875,2000875,"   875 Nymphe (1917 CF)",875,Nymphe,,N,N,11.2,14.107,0.223,0.262,"JPL 34",2459000.5,59000,20200531.0000000,J2000,.151481929870451,2.552712438342979,2.16602263177848,14.56984499157159,196.0478407820772,117.0253997770099,22.02536828272963,2.939402244907478,.2416580307362984,2458909.357288062717,20200229.8572881,1489.708406971331,4.07859933462377,1.19636,465.5874212,3.5106E-8,8.5424E-9,9.0801E-8,4.272E-6,1.6652E-5,2.3703E-5,1.8792E-5,9.8364E-9,1.213E-9,7.7543E-5,7.4777E-6,MBA,.42992
a0000876,2000876,"   876 Scott (1917 CH)",876,Scott,,N,N,10.9,22.420,0.153,0.142,"JPL 35",2459000.5,59000,20200531.0000000,J2000,.1140749959145736,3.008380863401018,2.665199828699065,11.3628814505768,150.9494173592246,211.3253096008901,175.5908699740027,3.35156189810297,.1888882085769018,2458070.897928505343,20171113.3979285,1905.889217290309,5.21804029374486,1.66811,649.1783687,3.8336E-8,1.224E-8,1.1702E-7,4.249E-6,1.7929E-5,2.3341E-5,1.5661E-5,1.3636E-8,1.1527E-9,8.1657E-5,1.1631E-5,MBA,.40981
a0000877,2000877,"   877 Walkure (1915 S7)",877,Walkure,,N,N,10.9,38.41,0.0623,1.4,"JPL 76",2459000.5,59000,20200531.0000000,J2000,.1604093411858092,2.486568909712432,2.087700029092345,4.255513589832238,116.3750854067705,275.8214355282683,222.7819444467437,2.885437790332519,.2513641425460397,2459546.393515930274,20211127.8935159,1432.185181042927,3.92110932523731,1.09878,427.6122126,3.0266E-8,6.9182E-9,7.5949E-8,3.7162E-6,4.7212E-5,4.8921E-5,1.4147E-5,8.0279E-9,1.049E-9,5.717E-5,5.977E-6,MBA,.40897
a0000878,2000878,"   878 Mildred (1916 f)",878,Mildred,,N,N,14.7,2.529,0.399,0.381,"JPL 29",2459000.5,59000,20200531.0000000,J2000,.2267667928924783,2.359956478371136,1.824796716405087,2.065669982722247,172.836857918723,190.194917636152,219.2721456463909,2.895116240337186,.2718617342645207,2459518.144951888232,20211030.6449519,1324.202543524279,3.62546897611028,.822394,320.05107298,4.2369E-8,7.2749E-9,9.8272E-8,3.7748E-6,.00010055,.00010086,1.0358E-5,8.9246E-9,1.2571E-9,3.9708E-5,6.123E-6,MBA,.51834
a0000879,2000879,"   879 Ricarda (1917 CJ)",879,Ricarda,,N,N,11.0,18.312,0.230,0.623,"JPL 37",2459000.5,59000,20200531.0000000,J2000,.1549243559459056,2.531265543665667,2.139110859585201,13.68118205819002,269.8562933038012,96.94480230912309,149.5353044177309,2.923420227746134,.2447358056799172,2458389.492942809097,20180927.9929428,1470.973971298803,4.02730724517126,1.18963,462.9683071,5.5982E-8,7.4127E-9,1.4195E-7,3.4227E-6,1.9707E-5,2.2285E-5,1.1555E-5,8.5612E-9,1.0751E-9,4.6285E-5,6.4616E-6,MBA,.36106
